mantul sekale appnya , banyak chanel pilihan yang bisa mengisi hari hari wfh . bisa diplayback pula , semoga kedepannya pilihan chanel chanelnya akan terus bertambah	positive
ya sudah di download hanya tidak ada gambarnya semua , coba di klik hanya layar hitam enggak nongol filmnya	positive
aplikasi babi buat menonton tv saja susah banget muter terus !	negative
streaming terputus otomatis setelah menit . enggak nyaman sekali , akses lambat walau via wifi mbps sekalipun . komplain ke respons standard , tidak ada solusi .	negative
aplikasinya bagus tapi pas gue menonton kok kayak ngeleg begitu ya padahal jaringan saya bagus terus gue tes menonton di youtube ya lancar enggak ngeleg	neutral
jujur saja saya mengunduh aplikasi ini untuk menonton nickelodeon . tapi tayangannya enggak hd dan audio pun mono .	positive
luwemot pool , sering error pula .. padahal jaringan oke .. tolong diperbaiki	neutral
masa baru buka enail verifikasi sudah dinyatakan token kedaluarsa , aneh . mau daftar saja sudah sangat ribet apalagi kelanjutannya , uninstal lebih baik	negative
npa tiba dk bisa dibuka aplikasi nya	neutral
vidio selalu terjedah .. tidak dapat di tonton ..	negative
mantap aplikasinya bagus saya jadi bisa menonton siaran tv kesukaan tanpa harus takut lge ketinggalan ceritanya .	positive
lumayan , tapi lebih bagus kalau ada chanel khusus yang berisikan pengetahuan dan hiburan . serta kalo bisa sih kaya aplikasi lain , pakai kuota videomax	positive
bagus , , hanya saja kenapa sekarang tidak bisa buka chanel luar ya , , cuma bisa buka chanel lokal saja , , di mananya yang salah ?	positive
aplikasinya kok enggak bisa di lihat , kembali kembali sendiri ..	negative
aplikasinya bagus sih tapi maunya kalo kita berlangganan film atau drama yang premiun di vision bisa kita lihat terima kasih sukses terus buat mnc vision	positive
thanks you good aplikasi .. sangat bermanfaat bagi saya dan bermutu.tolong dipertingkatkan lagi.note jangan terlalu banyak ikan nya .	positive
aplikasinya memang keren banget sih . banyak film yang aku cari ada di aplikasi ini . ditingkatkan terus ya , tapi sejauh ini sudah bagus banget	positive
halo admin , saya mau tanya . kok saya gagal bayar premium terus ya ? saya coba pakai pulsa disuruh kirim sms , tapi enggak bisa . saya pakai gopay juga tidak terdeteksi akun gopaynya . saya tidak memiliki tv berlangganan dengan mnc . apakah harus memiliki tv berlangganan dulu baru bisa premium ? terima kasih sebelumnya	neutral
mantap , saya suka aplikasinya . channelnya lengkap kualitasnya juga bagus . sukses terus buat channelnya .	positive
baru saja downlot aplikasi ini langsung berat dan enggak bisa buka , kembali , matiin hp jadi nya nyesal dowlod aplk ini	negative
kenapa indak bisa masuk padahal sudah isi semua tapi yang email itu aku sudah ngisi kok tetap indak bisa masuk menyesal aku donlot ini siapa yang membuat ini tolong di perbarui dulu ya soalnya ini aplikasi impian saya tolong ya	negative
appnya keren sih ini , channel yang disediainnya banyak , bagus . tapi appnya di awal pas buka di smart tv lumayan berat banget , itu harus di improve sih	positive
